"","INVENTORY_ID","province","notebook","class","subclass","IFN3_ID","X","Y","Forest_type","Deadwood","species_1","species_2","species_3","N","N_dead","N_alive","N_sp_1","N_sp_2","N_sp_3","CD_0_75","CD_75_125","CD_125_175","CD_175_225","CD_225_275","CD_275_325","CD_325_375","CD_375_425","CD_425_","DBHm","Dg","Do","G","G_dead","G_alive","G_sp_1","G_sp_2","G_sp_3","Hm","Ho","Fcc","slenderness","dominant_slenderness","SDI","S","S_staggered"
"224","IFN3",34,1201,"N",NA,"34_1201_N_N",392000,4669000,"natural",0,24,NA,NA,318.309886183791,NA,318.309886183791,318.309886183791,NA,NA,0,254.647908947033,63.6619772367581,0,0,0,0,0,0,12.11,12.1435373759049,12.7166666666667,3.6866375,NA,3.6866375,3.6866375,NA,NA,5.3,5.5,"60",43.7654830718415,43.2503276539974,99.8919478134131,101.908931207235,189.673893134709
"226","IFN3",34,1203,"N",NA,"34_1203_N_N",389000,4666000,"natural",0,44,45,NA,318.309886183791,NA,318.309886183791,286.478897565412,31.8309886183791,NA,0,127.323954473516,190.985931710274,0,0,0,0,0,0,12.665,12.8627271602876,15.175,4.13624375,NA,4.13624375,3.5002375,0.63600625,NA,5.3,5.75,"40",41.8476115278326,37.8912685337727,109.555950441594,97.4781081112683,181.427202128852
"228","IFN3",34,1205,"N",NA,"34_1205_N_N",377000,4665000,"natural",0,58,57,NA,897.067994796185,NA,897.067994796185,882.920888743572,14.1471060526129,NA,0,127.323954473516,286.478897565412,141.471060526129,42.4413181578388,56.5884242104517,141.471060526129,70.7355302630646,30.5577490736439,22.7992035956474,25.3197062316208,42.8505586592179,45.1681776388889,NA,45.1681776388889,43.4125526388889,1.755625,NA,16.9850969878568,26.4525139664804,"65",74.4986416591299,61.7320165574786,915.551549184448,12.6217730359827,23.4917666355386
"229","IFN3",34,1206,"N",NA,"34_1206_N_N",390000,4665000,"natural",0,45,NA,NA,159.154943091895,NA,159.154943091895,159.154943091895,NA,NA,0,127.323954473516,31.8309886183791,0,0,0,0,0,0,10.6,10.7200746266059,10.6,1.4365,NA,1.4365,1.4365,NA,NA,3.3,3.3,"40",31.1320754716981,31.1320754716981,40.8878147805395,240.201654400364,447.065653498685
"230","IFN3",34,1207,"N",NA,"34_1207_N_N",395000,4665000,"natural",0,44,NA,NA,254.647908947033,NA,254.647908947033,254.647908947033,NA,NA,0,254.647908947033,0,0,0,0,0,0,0,9.475,9.59693961635687,11,1.842025,NA,1.842025,1.842025,NA,NA,3.25,3.5,"50",34.3007915567282,31.8181818181818,54.773372714278,179.044876759357,333.240064619189
"232","IFN3",34,1209,"N",NA,"34_1209_N_N",386000,4663000,"natural",0,44,45,NA,732.112738222719,NA,732.112738222719,572.957795130823,159.154943091895,NA,0,636.619772367581,95.4929658551372,0,0,0,0,0,0,11.0630434782609,11.169314524917,12.6928571428571,7.17333125,NA,7.17333125,5.55373125,1.6196,NA,4.30434782608696,5.28571428571429,"45",38.9074474356455,41.6432189082724,200.893930190171,69.9209522473888,130.137555828932
"233","IFN3",34,121,"A",NA,"34_121_A_1",377000,4758000,"natural",0,42,71,NA,221.543680783918,NA,221.543680783918,189.712692165539,31.8309886183791,NA,0,127.323954473516,63.6619772367581,0,0,0,0,0,30.5577490736439,16.3005747126437,23.4083398292835,16.3005747126437,9.5343365,NA,9.5343365,9.01233025,0.52200625,NA,9.5948275862069,9.5948275862069,"85",58.8618975425731,58.8618975425731,199.345064649122,70.0217791634422,130.325215864947
"234","IFN3",34,1210,"N",NA,"34_1210_N_N",383000,4662000,"natural",0,44,45,NA,205.133037762887,NA,205.133037762887,190.985931710274,14.1471060526129,NA,0,127.323954473516,31.8309886183791,31.8309886183791,0,0,14.1471060526129,0,0,14.101724137931,15.6717074306887,14.101724137931,3.95692777777778,NA,3.95692777777778,2.448125,1.50880277777778,NA,5.78448275862069,5.78448275862069,"50",41.0196845580144,41.0196845580144,96.9401268535505,120.702888546448,224.653389177968
"235","IFN3",34,1211,"N",NA,"34_1211_N_N",392000,4662000,"natural",0,44,45,NA,159.154943091895,NA,159.154943091895,127.323954473516,31.8309886183791,NA,0,127.323954473516,31.8309886183791,0,0,0,0,0,0,12.09,12.1474482917195,12.09,1.84450625,NA,1.84450625,1.3225,0.52200625,NA,5,5,"50",41.3564929693962,41.3564929693962,49.9717936002049,158.53309190424,295.063331309132
"236","IFN3",34,1212,"N",NA,"34_1212_N_N",381000,4661000,"natural",0,23,NA,NA,159.154943091895,NA,159.154943091895,159.154943091895,NA,NA,0,127.323954473516,31.8309886183791,0,0,0,0,0,0,11.34,11.4637690137232,11.34,1.642725,NA,1.642725,1.642725,NA,NA,3.8,3.8,"40",33.5097001763668,33.5097001763668,45.5351674198925,208.596173558211,388.241225406752
"237","IFN3",34,1213,"N",NA,"34_1213_N_N",395000,4661000,"natural",0,258,NA,NA,952.524650522428,NA,952.524650522428,952.524650522428,NA,NA,0,254.647908947033,286.478897565412,127.323954473516,141.471060526129,99.0297423682904,28.2942121052258,0,15.278874536822,18.8568765780484,21.270576106825,37.2310734463277,33.8473451944444,NA,33.8473451944444,33.8473451944444,NA,NA,14.1809743056587,19.3050847457627,"50",75.2031984033188,51.8520766627718,734.967627450302,16.7837953630157,31.2381630379954
"238","IFN3",34,1214,"N",NA,"34_1214_N_N",383000,4660000,"natural",0,44,45,NA,141.471060526129,NA,141.471060526129,127.323954473516,14.1471060526129,NA,0,127.323954473516,0,0,14.1471060526129,0,0,0,0,12.505,13.244932993413,12.505,1.94920277777778,NA,1.94920277777778,1.221025,0.728177777777778,NA,5,5,"30",39.984006397441,39.984006397441,51.0344888047679,168.149736491938,312.96192367227
"239","IFN3",34,1215,"N",NA,"34_1215_N_N",385000,4659000,"natural",0,24,NA,NA,668.45076098596,NA,668.45076098596,668.45076098596,NA,NA,0,509.295817894065,127.323954473516,31.8309886183791,0,0,0,0,0,10.9904761904762,11.2774321629738,15.2625,6.676975,NA,6.676975,6.676975,NA,NA,6.02380952380952,7.5,"35",54.8093587521664,49.1400491400491,186.282954192315,51.5708186513682,95.9841088496729
"240","IFN3",34,1216,"N",NA,"34_1216_N_N",381000,4658000,"natural",0,45,NA,NA,155.618166578742,NA,155.618166578742,155.618166578742,NA,NA,0,127.323954473516,0,0,0,14.1471060526129,14.1471060526129,0,0,15.7727272727273,17.5709341605029,15.7727272727273,3.77346111111111,NA,3.77346111111111,3.77346111111111,NA,NA,4.45454545454546,4.45454545454546,"45",28.2420749279539,28.2420749279539,88.3613448089182,179.956052500228,334.93595376309
"241","IFN3",34,1217,"N",NA,"34_1217_N_N",398000,4658000,"natural",0,58,NA,NA,167.784677783989,NA,167.784677783989,167.784677783989,NA,NA,0,0,0,63.6619772367581,14.1471060526129,56.5884242104517,28.2942121052258,0,5.09295817894065,27.2276981450253,28.9510555819404,32.6097826086957,11.0451339166667,NA,11.0451339166667,11.0451339166667,NA,NA,13.247892074199,14.6222826086957,"40",48.6559385359554,44.8401719942669,212.339089759185,52.7969308884311,98.2661608609035
"243","IFN3",34,1219,"N",NA,"34_1219_N_N",394000,4655000,"plantation",0,58,NA,NA,450.726798836248,NA,450.726798836248,450.726798836248,NA,NA,0,0,63.6619772367581,0,84.8826363156775,169.765272631355,84.8826363156775,42.4413181578388,5.09295817894065,28.9912115505336,29.7097191524172,36.6182065217391,31.2464263888889,NA,31.2464263888889,31.2464263888889,NA,NA,23.9880728185813,28.0244565217391,"50",82.7425676114588,76.531483061853,594.595795273179,16.8076157413119,31.2824977575716
"244","IFN3",34,122,"A",NA,"34_122_A_1",380000,4758000,"natural",1,71,42,NA,960.305558851365,928.474570232986,31.8309886183791,759.133710783209,201.171848068156,NA,0,763.943726841098,31.8309886183791,95.4929658551372,28.2942121052258,0,0,0,40.7436654315252,12.7472672362994,15.6036740499411,33.7565918653576,18.3633986944444,17.9664986944444,0.3969,12.6867506944444,5.676648,NA,10.5185621685327,13.6746143057503,"80",82.5162128756496,40.5094636339274,450.655685644353,23.5982714629635,43.9213321796885
"245","IFN3",34,1220,"N",NA,"34_1220_N_N",390000,4652000,"plantation",0,58,NA,NA,381.54745023897,NA,381.54745023897,381.54745023897,NA,NA,0,0,95.4929658551372,190.985931710274,28.2942121052258,56.5884242104517,0,0,10.1859163578813,21.9768817204301,23.1364239036484,28.6152731326644,16.0409801944444,NA,16.0409801944444,16.0409801944444,NA,NA,16.587319243604,17.8913043478261,"65",75.4762183944601,62.5236189949314,336.938234082344,28.6143390409126,53.2572859029363
"246","IFN3",34,1221,"N",NA,"34_1221_N_N",396000,4652000,"natural",0,44,NA,NA,127.323954473516,NA,127.323954473516,127.323954473516,NA,NA,0,127.323954473516,0,0,0,0,0,0,0,8.2,8.2,8.2,0.6724,NA,0.6724,0.6724,NA,NA,2.5,2.5,"45",30.4878048780488,30.4878048780488,21.2758851752002,354.490770181103,659.781666474761
"247","IFN3",34,1222,"N",NA,"34_1222_N_N",401000,4651000,"natural",0,44,NA,NA,445.633840657307,NA,445.633840657307,445.633840657307,NA,NA,0,381.971863420549,63.6619772367581,0,0,0,0,0,0,10.8678571428571,11.0613306484476,12.3583333333333,4.28235625,NA,4.28235625,4.28235625,NA,NA,3.85714285714286,4.66666666666667,"50",35.4912914886625,37.7612946729602,120.391350234364,101.508903734029,188.929358114029
"248","IFN3",34,1223,"N",NA,"34_1223_N_N",411000,4669000,"plantation",0,58,NA,NA,95.4929658551372,NA,95.4929658551372,95.4929658551372,NA,NA,0,0,63.6619772367581,31.8309886183791,0,0,0,0,0,17.4333333333333,17.5206069149064,17.4333333333333,2.3022875,NA,2.3022875,2.3022875,NA,NA,9.5,9.5,"40",54.4933078393882,54.4933078393882,53.9726879761694,107.718600836472,200.486906708202
"253","IFN3",34,1228,"N",NA,"34_1228_N_N",373000,4637000,"plantation",0,258,NA,NA,318.309886183791,NA,318.309886183791,318.309886183791,NA,NA,0,0,318.309886183791,0,0,0,0,0,0,14.955,14.9952575836496,15.9875,5.62144375,NA,5.62144375,5.62144375,NA,NA,10.05,10.125,"40",67.2016048144433,63.3307271305708,140.140115652456,55.3579379397326,103.032732073175
"254","IFN3",34,1229,"N",NA,"34_1229_N_N",368000,4636000,"natural",0,45,NA,NA,31.8309886183791,NA,31.8309886183791,31.8309886183791,NA,NA,0,0,0,31.8309886183791,0,0,0,0,0,18.85,18.85,18.85,0.88830625,NA,0.88830625,0.88830625,NA,NA,6,6,"15",31.8302387267904,31.8302387267904,20.2316422742404,295.408975150919,549.818055395634
"255","IFN3",34,123,"A",NA,"34_123_A_1",382000,4758000,"natural",0,42,71,NA,784.739972738439,NA,784.739972738439,738.761878067447,45.978094670992,NA,0,0,127.323954473516,222.816920328653,254.647908947033,141.471060526129,28.2942121052258,0,10.1859163578813,23.2265999639445,24.2204051288969,34.7917098445596,36.1558405833333,NA,36.1558405833333,34.8967294722222,1.25911111111111,NA,15.5088336037498,16.4378238341969,"85",66.7718634144675,47.246381128254,745.835778894683,21.7166479337701,40.4192361811521
"256","IFN3",34,1230,"N",NA,"34_1230_N_N",373000,4635000,"natural",0,95,NA,NA,201.596261249734,NA,201.596261249734,201.596261249734,NA,NA,0,0,127.323954473516,31.8309886183791,14.1471060526129,14.1471060526129,0,14.1471060526129,0,18.3877192982456,19.9523797112112,22.5616666666667,6.30320972222222,NA,6.30320972222222,6.30320972222222,NA,NA,7.16666666666667,7.76666666666667,"20",38.9752886174983,34.424170791165,140.371924803788,90.6826278642063,168.779388253156
"257","IFN3",34,1231,"N",NA,"34_1231_N_N",385000,4649000,"natural",0,58,NA,NA,595.310222693952,NA,595.310222693952,595.310222693952,NA,NA,0,127.323954473516,95.4929658551372,159.154943091895,28.2942121052258,56.5884242104517,42.4413181578388,70.7355302630646,15.278874536822,21.7566539923954,24.5582729724187,40.8361581920904,28.1986856666667,NA,28.1986856666667,28.1986856666667,NA,NA,12.9222908745247,21.3305084745763,"65",59.3946609577071,52.2343663530714,578.518339935476,19.2144130121179,35.7620522277431
"260","IFN3",34,1234,"N",NA,"34_1234_N_N",379000,4642000,"plantation",0,58,NA,NA,343.067321775863,NA,343.067321775863,343.067321775863,NA,NA,0,0,31.8309886183791,0,99.0297423682904,84.8826363156775,70.7355302630646,56.5884242104517,0,29.9180412371134,30.8017275087904,37.5375,25.5634451388889,NA,25.5634451388889,25.5634451388889,NA,NA,24.6701030927835,27.1875,"20",82.4589514308851,72.4275724275724,479.566273453968,19.8582534664081,36.9603743382409
"261","IFN3",34,1235,"N",NA,"34_1235_N_N",377000,4641000,"plantation",0,58,NA,NA,420.876405065234,NA,420.876405065234,420.876405065234,NA,NA,0,0,31.8309886183791,63.6619772367581,0,99.0297423682904,113.176848420903,113.176848420903,0,30.7331932773109,31.8632084797161,39.05625,33.5601173611111,NA,33.5601173611111,33.5601173611111,NA,NA,22.9638655462185,28,"20",74.720076560257,71.6914706353017,621.212979323216,17.4086333697531,32.4011176084383
"262","IFN3",34,1236,"N",NA,"34_1236_N_N",378000,4641000,"plantation",0,58,NA,NA,325.383439210097,NA,325.383439210097,325.383439210097,NA,NA,0,0,0,0,127.323954473516,198.059484736581,0,0,0,28.0608695652174,28.1784723565318,31.0125,20.2917833333333,NA,20.2917833333333,20.2917833333333,NA,NA,22.4130434782609,23.6875,"20",79.8729470096065,76.3804917372027,394.293148390607,23.4036206542334,43.5590462028238
"263","IFN3",34,1237,"N",NA,"34_1237_N_N",390000,4639000,"natural",0,23,24,NA,517.925552586159,NA,517.925552586159,410.266075525775,107.659477060384,NA,0,127.323954473516,190.985931710274,95.4929658551372,70.7355302630646,28.2942121052258,0,0,5.09295817894065,16.8139169625785,17.8649936989473,25.9945652173913,12.9826381944444,NA,12.9826381944444,8.21405486111111,4.76858333333333,NA,6.51160885004097,8.85054347826087,"70",38.727494994375,34.047668827096,302.021754596851,49.6473864357157,92.4041981175934
"265","IFN3",34,1239,"N",NA,"34_1239_N_N",405000,4643000,"natural",0,44,NA,NA,381.971863420549,NA,381.971863420549,381.971863420549,NA,NA,0,381.971863420549,0,0,0,0,0,0,0,8.15,8.1611375841035,8.5,1.998125,NA,1.998125,1.998125,NA,NA,3.33333333333333,3.5,"80",40.8997955010225,41.1764705882353,63.3428401196738,146.189529706641,272.089373389702
"266","IFN3",34,124,"A",NA,"34_124_A_1",377000,4757000,"natural",0,42,71,NA,932.860173109296,NA,932.860173109296,858.587866333078,74.2723067762178,NA,0,127.323954473516,222.816920328653,95.4929658551372,226.353696841807,155.618166578742,70.7355302630646,14.1471060526129,20.3718327157626,22.7650060661207,25.5856437714092,43.6911290322581,47.9622039166667,NA,47.9622039166667,44.6157761388889,3.34642777777778,NA,13.7375644525326,17.2016129032258,"90",60.3450946273943,39.370950772468,968.181941857965,19.0336708036639,35.4256530728788
"267","IFN3",34,1240,"N",NA,"34_1240_N_N",403000,4640000,"natural",0,45,NA,NA,63.6619772367581,NA,63.6619772367581,63.6619772367581,NA,NA,0,0,63.6619772367581,0,0,0,0,0,0,12.925,12.9269582655782,12.925,0.83553125,NA,0.83553125,0.83553125,NA,NA,3.5,3.5,"15",27.0793036750484,27.0793036750484,22.0870668431325,358.089753518714,666.480129238377
"268","IFN3",34,1241,"N",NA,"34_1241_N_N",407000,4637000,"natural",0,38,44,45,1078.71683651173,NA,1078.71683651173,442.097064144154,509.295817894065,127.323954473516,0,668.45076098596,318.309886183791,63.6619772367581,14.1471060526129,14.1471060526129,0,0,0,12.4201639344262,13.1360163759607,21.7942857142857,14.6192368055556,NA,14.6192368055556,7.34389930555555,6.5443125,0.731025,6.3344262295082,7.11428571428571,"70",51.0011483177804,32.6428945988464,384.01479038131,42.7971617996199,79.65449345301
"271","IFN3",34,1244,"N",NA,"34_1244_N_N",397000,4632000,"natural",0,23,44,36,1160.06269631426,NA,1160.06269631426,396.118969473162,509.295817894065,254.647908947033,0,891.267681314614,254.647908947033,0,14.1471060526129,0,0,0,0,10.8565548780488,11.2589540924589,17.0887096774194,11.5496131944444,NA,11.5496131944444,4.91750694444444,4.64285625,1.98925,6.35518292682927,8.45161290322581,"75",58.5377497577893,49.4572911750826,322.434953454195,34.7391887017258,64.6569156141816
"272","IFN3",34,1245,"N",NA,"34_1245_N_N",382000,4627000,"plantation",0,24,NA,NA,512.832594407218,NA,512.832594407218,512.832594407218,NA,NA,0,127.323954473516,127.323954473516,159.154943091895,99.0297423682904,0,0,0,0,17.11,17.7413558359149,23.2081081081081,12.6776604166667,NA,12.6776604166667,12.6776604166667,NA,NA,6.7551724137931,7.98648648648649,"65",39.4808440315202,34.4124839874229,295.737046104667,55.2912525987933,102.908616668557
"274","IFN3",34,125,"A",NA,"34_125_A_1",379000,4757000,"natural",0,43,NA,NA,891.267681314614,NA,891.267681314614,891.267681314614,NA,NA,0,254.647908947033,604.788783749202,31.8309886183791,0,0,0,0,0,13.3535714285714,13.5213125419518,16.7125,12.7978125,NA,12.7978125,12.7978125,NA,NA,9.125,9.875,"75",68.3337790853169,59.0875093492894,332.353075083505,33.9202321868698,63.132665789945
"275","IFN3",34,127,"A",NA,"34_127_A_1",393000,4757000,"natural",0,42,NA,NA,5.09295817894065,NA,5.09295817894065,5.09295817894065,NA,NA,0,0,0,0,0,0,0,0,5.09295817894065,102.5,102.5,102.5,4.2025,NA,4.2025,4.2025,NA,NA,17.5,17.5,"80",17.0731707317073,17.0731707317073,49.0329700102354,253.207692986502,471.272618910543
"276","IFN3",34,128,"A",NA,"34_128_A_4",378000,4756000,"natural",0,42,71,NA,635.770946004425,NA,635.770946004425,602.383775720258,33.3871702841665,NA,0,0,63.6619772367581,127.323954473516,240.50080289442,99.0297423682904,70.7355302630646,14.1471060526129,20.3718327157626,25.9537049399199,26.9101190572785,37.5163978494624,36.1594484166667,NA,36.1594484166667,33.8711229722222,2.28832544444444,NA,17.1104806408545,20.1370967741935,"85",65.9269290471763,53.6754537442409,715.519595755071,19.694855745265,36.6562569117171
"277","IFN3",34,129,"A",NA,"34_129_A_1",379000,4756000,"natural",0,43,NA,NA,1769.9444382424,NA,1769.9444382424,1769.9444382424,NA,NA,0,1018.59163578813,381.971863420549,236.964026381266,113.176848420903,0,14.1471060526129,0,5.09295817894065,13.3266685316921,14.5014024290163,28.1945652173913,29.2327400277778,NA,29.2327400277778,29.2327400277778,NA,NA,6.06022700023979,11.5923913043478,"75",45.4744333576541,41.1156945140522,738.463402747726,20.5044040337878,38.1629960536712
"278","IFN3",34,13,"A",NA,"34_13_A_1",379000,4765000,"natural",0,71,NA,NA,1488.41702779541,NA,1488.41702779541,1488.41702779541,NA,NA,0,381.971863420549,254.647908947033,541.126806512444,155.618166578742,84.8826363156775,14.1471060526129,0,56.0225399683472,19.1932896112537,21.6755677138809,43.8977386934673,54.9231545555556,NA,54.9231545555556,54.9231545555556,NA,NA,13.0391597756867,16.2814070351759,"80",67.9360341024679,37.0893980413593,1183.75966534292,15.9200985312033,29.630642101044
"279","IFN3",34,131,"A",NA,"34_131_A_1",386000,4756000,"natural",0,42,278,215,258.04321439966,NA,258.04321439966,106.386237515649,10.1859163578813,127.323954473516,0,0,127.323954473516,0,14.1471060526129,0,28.2942121052258,42.4413181578388,45.8366236104659,27.4227796052632,31.5718803804363,44.3997237569061,20.2014815833333,NA,20.2014815833333,14.6808005555556,3.140597,1.79740625,10.3969298245614,12.6574585635359,"45",37.9134791374903,28.5079669252832,375.29774021799,49.1821221488271,91.538243705303
"280","IFN3",34,132,"A",NA,"34_132_A_1",391000,4756000,"natural",0,42,NA,NA,63.9449193578104,NA,63.9449193578104,63.9449193578104,NA,NA,0,0,0,0,14.1471060526129,0,14.1471060526129,0,35.6507072525846,56.4110619469027,63.3739133889496,56.4110619469027,20.1705145555556,NA,20.1705145555556,20.1705145555556,NA,NA,14.3805309734513,14.3805309734513,"60",25.4923954223502,25.4923954223502,284.563192336498,86.9605056067785,161.851738135287
"281","IFN3",34,133,"A",NA,"34_133_A_1",378000,4755000,"natural",1,42,43,NA,2097.30847229987,1842.66056335283,254.647908947033,1397.02672269553,700.281749604339,NA,0,636.619772367581,986.760647169751,445.633840657307,14.1471060526129,14.1471060526129,0,0,0,14.4991568296796,15.008709388359,22.65,37.1055513888889,35.3795263888889,1.726025,23.8306138888889,13.2749375,NA,10.6323777403035,13.5142857142857,"85",73.3310072109793,59.6657205928729,924.697474820967,16.157558909038,30.0726056639584
"282","IFN3",34,135,"A",NA,"34_135_A_1",388000,4754000,"natural",1,43,NA,NA,1422.91592677181,1168.26801782477,254.647908947033,1422.91592677181,NA,NA,0,254.647908947033,636.619772367581,318.309886183791,127.323954473516,28.2942121052258,14.1471060526129,28.2942121052258,15.278874536822,17.6798667727182,19.5128424526165,39.4161016949153,42.5510418333333,40.0555918333333,2.49545,42.5510418333333,NA,NA,9.00825213760191,13.4604519774011,"90",50.952036310039,34.1496276866404,955.982605411039,19.694761992596,36.6560824183384
"283","IFN3",34,136,"A",NA,"34_136_A_4",390000,4754000,"natural",0,43,NA,NA,74.2723067762178,NA,74.2723067762178,74.2723067762178,NA,NA,0,0,0,31.8309886183791,0,0,28.2942121052258,14.1471060526129,0,30.2738095238095,31.3378764436903,30.2738095238095,5.72869791666667,NA,5.72869791666667,5.72869791666667,NA,NA,8.54761904761905,8.54761904761905,"5",28.2343688556823,28.2343688556823,106.739422500461,135.75048363661,252.660119395379
"284","IFN3",34,137,"A",NA,"34_137_A_1",392000,4754000,"natural",1,42,378,73,1187.08366887475,1181.99071069581,5.09295817894065,103.273874184074,859.436692696235,190.985931710274,0,923.098669932993,159.154943091895,31.8309886183791,14.1471060526129,14.1471060526129,14.1471060526129,0,30.5577490736439,12.5646943153379,15.6853744100973,35.5504048582996,22.9382874722222,20.9614514722222,1.976836,11.0114699444444,6.42540625,2.7723125,8.02276248361339,9.79645390070922,"80",63.8516328552452,27.5565185256171,561.76789342159,29.6271881623021,55.1424105307411
"285","IFN3",34,138,"A",NA,"34_138_A_1",393000,4754000,"natural",0,42,NA,NA,1110.54782513011,NA,1110.54782513011,1110.54782513011,NA,NA,0,0,668.45076098596,286.478897565412,99.0297423682904,42.4413181578388,14.1471060526129,0,0,17.8433121019108,18.3800453448565,28.25625,29.4659402777778,NA,29.4659402777778,29.4659402777778,NA,NA,13.265923566879,14.125,"85",74.3467551938317,49.9889404998894,677.82847697237,21.2443237191367,39.5401417627332
"286","IFN3",34,139,"A",NA,"34_139_A_1",395000,4754000,"natural",1,42,NA,NA,1153.69649859058,1026.37254411707,127.323954473516,1153.69649859058,NA,NA,0,254.647908947033,286.478897565412,190.985931710274,155.618166578742,169.765272631355,70.7355302630646,0,25.4647908947033,20.118307786634,22.0079584150602,38.1215384615385,43.8875128333333,42.6331128333333,1.2544,43.8875128333333,NA,NA,11.9782342121398,16.8846153846154,"80",59.538974844086,44.2915371887485,940.239236012652,17.4366496086175,32.4532617044803
"287","IFN3",34,14,"A",NA,"34_14_A_1",381000,4765000,"natural",1,71,NA,NA,1440.59980933757,1408.76882071919,31.8309886183791,1440.59980933757,NA,NA,0,381.971863420549,381.971863420549,350.14087480217,183.912378683968,84.8826363156775,28.2942121052258,14.1471060526129,15.278874536822,17.8620396739664,19.404064850975,36.1940677966102,42.6008896944444,42.1073834444444,0.49350625,42.6008896944444,NA,NA,13.2265540606894,16.364406779661,"70",74.0483970594178,45.2129527734201,959.218288643217,16.1000808539192,29.9656269491877
"288","IFN3",34,140,"A",NA,"34_140_A_3C",396000,4754000,"natural",0,71,42,65,1867.41799894491,NA,1867.41799894491,1775.46180960292,28.2942121052258,63.6619772367581,0,668.45076098596,859.436692696235,254.647908947033,42.4413181578388,0,42.4413181578388,0,0,14.3804924242424,15.18992451654,32.93125,33.8409583333333,NA,33.8409583333333,31.0060076388889,1.89764444444444,0.93730625,12.3636363636364,14.8125,"90",85.9750556440886,44.9800721199469,839.352889263997,15.6225119825459,29.076771124676
"289","IFN3",34,140,"A",NA,"34_140_A_3E",396000,4754000,"natural",0,71,42,378,1630.45397256364,NA,1630.45397256364,1015.05485927498,488.075158815146,127.323954473516,0,636.619772367581,445.633840657307,350.14087480217,84.8826363156775,99.0297423682904,14.1471060526129,0,0,15.9838394793926,17.1320131071031,32.93125,37.5850576388889,NA,37.5850576388889,18.7138409722222,17.4788166666667,1.3924,11.5433839479393,14.8125,"90",72.2190933087242,44.9800721199469,888.949946446622,16.7192720692595,31.1180716566058
"290","IFN3",34,141,"A",NA,"34_141_A_1",398000,4754000,"natural",1,42,71,73,487.509274573041,455.678285954662,31.8309886183791,198.766840039212,110.347427210381,19.2400642315536,0,127.323954473516,63.6619772367581,0,42.4413181578388,113.176848420903,42.4413181578388,47.5342763367794,50.9295817894065,25.392164828787,28.715243721698,43.5633165829146,31.5716861666667,30.8786299166667,0.69305625,15.1831549166667,13.1667298888889,1.83152011111111,13.7202553685432,19.1331658291457,"90",54.0334211795468,43.9203608217693,608.91930312201,23.6712789458213,44.057214416285
"291","IFN3",34,142,"A",NA,"34_142_A_1",399000,4754000,"plantation",1,21,NA,NA,1301.53375684039,1269.70276822201,31.8309886183791,1301.53375684039,NA,NA,0,254.647908947033,350.14087480217,427.949958091541,155.618166578742,99.0297423682904,14.1471060526129,0,0,18.5930706521739,19.3721731808798,30.38125,38.3620673611111,37.8033111111111,0.55875625,38.3620673611111,NA,NA,8.92309782608696,11.4375,"",47.9915232562388,37.6465747788521,864.336718340547,24.2348967976898,45.1062254395361
"292","IFN3",34,144,"A",NA,"34_144_A_1",381000,4753000,"natural",1,42,NA,NA,785.022914859491,753.191926241112,31.8309886183791,785.022914859491,NA,NA,0,254.647908947033,127.323954473516,159.154943091895,70.7355302630646,56.5884242104517,70.7355302630646,0,45.8366236104659,21.2518291584069,28.4625980577331,56.2864640883978,49.9483671111111,49.1293421111111,0.819025,49.9483671111111,NA,NA,9.12524779239503,13.8618784530387,"85",42.9386464778031,24.6273747650387,966.716778888407,25.747599584511,47.9216825671223
"293","IFN3",34,145,"A",NA,"34_145_A_1",382000,4753000,"natural",1,43,NA,NA,1124.27051800115,837.791620435737,286.478897565412,1124.27051800115,NA,NA,0,509.295817894065,127.323954473516,222.816920328653,99.0297423682904,84.8826363156775,56.5884242104517,14.1471060526129,10.1859163578813,17.2684849628791,20.1443302403684,38.9072538860104,35.8316138055556,33.5122325555556,2.31938125,35.8316138055556,NA,NA,8.22341764187744,14.2668393782383,"55",47.6209560917172,36.6688418052763,794.954742336857,20.904357169276,38.9073927162681
"294","IFN3",34,146,"A",NA,"34_146_A_4",384000,4753000,"natural",0,42,43,NA,290.298616199617,NA,290.298616199617,35.6507072525846,254.647908947033,NA,0,254.647908947033,0,0,0,0,0,0,35.6507072525846,18.2421052631579,30.5111843169198,25.2671875,21.225258,NA,21.225258,19.448033,1.777225,NA,4.91228070175439,7.1875,"60",26.9282554337373,28.4459835508008,399.675983015826,81.6581731105703,151.982985364194
"295","IFN3",34,147,"A",NA,"34_147_A_4",385000,4753000,"natural",0,42,71,NA,400.787514470524,NA,400.787514470524,386.640408417911,14.1471060526129,NA,0,0,31.8309886183791,127.323954473516,127.323954473516,14.1471060526129,56.5884242104517,28.2942121052258,15.278874536822,27.0838333921638,29.203597874897,40.7994350282486,26.8458268333333,NA,26.8458268333333,26.1289823888889,0.716844444444444,NA,13.8180374161666,14.0310734463277,"80",51.0195038349505,34.3903621131344,514.33470211162,35.6001649445174,66.2593729644083
